Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
20150415.B-CAMA_reseq_24	0.7441760000000001	91.3131	4654.493413	40.454674	40.0262	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_24_R1										30.07426186864977	39.0	126.0	126	9.090909090909092	20.227337
20150415.B-CAMA_reseq_24_R2										29.764742032904948	40.0	126.0	126	18.181818181818183	20.227337
20150415.B-CAMA_reseq_25	0.6705960000000001	92.88419999999999	4760.486906	40.676064	38.775	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_25_R1										23.059976535293217	38.0	126.0	126	0.0	20.338032
20150415.B-CAMA_reseq_25_R2										22.51983048747543	38.0	126.0	126	18.181818181818183	20.338032
20150415.B-CAMA_reseq_26	0.750047	93.0614	4856.998627	41.421692	40.0775	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_26_R1										23.95833432861967	40.0	126.0	126	9.090909090909092	20.710846
20150415.B-CAMA_reseq_26_R2										23.389887214729626	40.0	126.0	126	27.27272727272727	20.710846
20150415.B-CAMA_reseq_2_R1										20.554826086166287	39.0	126.0	126	9.090909090909092	17.696005
20150415.B-CAMA_reseq_2_R2										20.156157636543526	39.0	126.0	126	18.181818181818183	17.696005
20150415.B-CAMA_reseq_3	1.25774	93.6271	4585.545924	38.870374	38.5234	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_3_R1										21.721822691249542	38.0	126.0	126	9.090909090909092	19.435187
20150415.B-CAMA_reseq_3_R2										21.52555779923071	38.0	126.0	126	18.181818181818183	19.435187
20150415.B-CAMA_reseq_4	1.38332	93.45700000000001	4340.415918	36.859448	39.2639	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_4_R1										27.184722824542504	39.0	126.0	126	9.090909090909092	18.429724
20150415.B-CAMA_reseq_4_R2										26.802898498740248	39.0	126.0	126	18.181818181818183	18.429724
20150415.B-CAMA_reseq_5	1.35835	93.36670000000001	5334.504268	45.345242	38.9747	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_5_R1										25.498803410289852	38.0	126.0	126	9.090909090909092	22.672621
20150415.B-CAMA_reseq_5_R2										25.132698059675263	39.0	126.0	126	18.181818181818183	22.672621
20150415.B-CAMA_reseq_6	1.20664	92.9326	4640.220488999999	39.627794	39.0876	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_6_R1										24.116756585278367	39.0	126.0	126	9.090909090909092	19.813897
20150415.B-CAMA_reseq_6_R2										23.724736753448965	39.0	126.0	126	18.181818181818183	19.813897
20150415.B-CAMA_reseq_7	1.22081	92.7069	5573.242614	47.71176	38.8892	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_7_R1										24.731050505216217	38.0	126.0	126	9.090909090909092	23.85588
20150415.B-CAMA_reseq_7_R2										24.319327357241974	38.0	126.0	126	18.181818181818183	23.85588
20150415.B-CAMA_reseq_8	1.50646	93.5188	5493.471549	46.620566	39.0805	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_8_R1										27.36256640948106	39.0	126.0	126	9.090909090909092	23.310283
20150415.B-CAMA_reseq_8_R2										27.121387819836897	39.0	126.0	126	18.181818181818183	23.310283
20150415.B-CAMA_reseq_9	1.24936	93.6287	4636.403499	39.300832	38.7064	100.0	100.0	126.0	126.0						
20150415.B-CAMA_reseq_9_R1										21.119748260379083	38.0	126.0	126	9.090909090909092	19.650416
20150415.B-CAMA_reseq_9_R2										20.923254278973076	38.0	126.0	126	18.181818181818183	19.650416
