Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
KTP-19_S31_R1_001	(1.0, 72.92261779578072)	(2.0, 10.705964201514508)	(3.0, 2.8225556525268662)	(4.0, 1.6895283384951123)	(5.0, 1.489211182019579)	(6.0, 1.362489252784767)	(7.0, 1.2826052377028103)	(8.0, 1.0570158883582303)	(9.0, 0.9154888390578999)	('>10', 4.734100562032645)	('>50', 0.49880004664534144)	('>100', 0.5196230030814999)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-19_S31_R2_001	(1.0, 76.0399910077971)	(2.0, 9.361660420184839)	(3.0, 2.566812142128665)	(4.0, 1.6671912851169701)	(5.0, 1.4004565359844316)	(6.0, 1.2412902069778522)	(7.0, 1.072412738673159)	(8.0, 0.9755713863233774)	(9.0, 0.786255981090501)	('>10', 3.9224618193651057)	('>50', 0.45708110784591977)	('>100', 0.508815368512066)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-1_S13_R1_001	(1.0, 81.95015639679117)	(2.0, 10.426017630181809)	(3.0, 2.853345861891837)	(4.0, 1.433046420766388)	(5.0, 0.8669116311932799)	(6.0, 0.561821795102003)	(7.0, 0.33797769756767626)	(8.0, 0.1944285871938061)	(9.0, 0.14465973301439733)	('>10', 1.0379470168318927)	('>50', 0.17728009060660657)	('>100', 0.016407138859145007)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-1_S13_R2_001	(1.0, 83.78669819949783)	(2.0, 9.495321010983549)	(3.0, 2.479728196417653)	(4.0, 1.255471083964409)	(5.0, 0.7970281369939936)	(6.0, 0.4629945336081144)	(7.0, 0.2724675569379915)	(8.0, 0.20679474830144207)	(9.0, 0.11883618789626835)	('>10', 0.9625377740972129)	('>50', 0.15387939603105003)	('>100', 0.008243175270480244)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-2_S14_R1_001	(1.0, 73.26048411931095)	(2.0, 11.149314685521459)	(3.0, 3.0836448946962425)	(4.0, 1.7870197724688828)	(5.0, 1.3550916329114744)	(6.0, 1.1787806071748919)	(7.0, 1.044082605631773)	(8.0, 0.7585680674455353)	(9.0, 0.6993634007028863)	('>10', 4.7636119449526895)	('>50', 0.6192262816138776)	('>100', 0.2444782070534869)	('>500', 0.0)	('>1k', 0.056333780515930944)	('>5k', 0.0)	('>10k+', 0.0)
KTP-2_S14_R2_001	(1.0, 75.95106620495226)	(2.0, 10.102134002362211)	(3.0, 2.7944783280105803)	(4.0, 1.6147247615767013)	(5.0, 1.2775440803432059)	(6.0, 1.028576588662206)	(7.0, 0.9005576503429069)	(8.0, 0.7316855798967878)	(9.0, 0.5470105864088484)	('>10', 4.281260084017894)	('>50', 0.5470081908808234)	('>100', 0.17778479855135806)	('>500', 0.0)	('>1k', 0.0461691439943532)	('>5k', 0.0)	('>10k+', 0.0)
KTP-3_S15_R1_001	(1.0, 80.67387131457251)	(2.0, 10.311002487528778)	(3.0, 2.8300627272731105)	(4.0, 1.5993748837343558)	(5.0, 1.0451979135657787)	(6.0, 0.6950443555555057)	(7.0, 0.4543856002908862)	(8.0, 0.33859626498938)	(9.0, 0.18417981748111775)	('>10', 1.2235425685147274)	('>50', 0.5236019393395241)	('>100', 0.12114012715429522)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-3_S15_R2_001	(1.0, 82.74274900636132)	(2.0, 9.253539293867071)	(3.0, 2.590186944013492)	(4.0, 1.4146264625265499)	(5.0, 0.9353996949495488)	(6.0, 0.6151685824829806)	(7.0, 0.3680710679060055)	(8.0, 0.26114346718485504)	(9.0, 0.17807500873567228)	('>10', 1.0683817853450244)	('>50', 0.47351773813929887)	('>100', 0.09914094848817853)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-4_S16_R1_001	(1.0, 82.02413903858412)	(2.0, 10.540862947975569)	(3.0, 2.5075121580138617)	(4.0, 1.1166919409053728)	(5.0, 0.6447885317879651)	(6.0, 0.449370065365015)	(7.0, 0.31367726972056925)	(8.0, 0.20058242433498796)	(9.0, 0.15420709521400058)	('>10', 1.400145452590651)	('>50', 0.5096443597185928)	('>100', 0.13837871578919478)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-4_S16_R2_001	(1.0, 84.09406122244312)	(2.0, 9.223743582906831)	(3.0, 2.2584111787949146)	(4.0, 0.9901925141138617)	(5.0, 0.5813567830393891)	(6.0, 0.36848181887839365)	(7.0, 0.2487561834898698)	(8.0, 0.2138547570905691)	(9.0, 0.1593363039520547)	('>10', 1.2774817958413536)	('>50', 0.48150167297988467)	('>100', 0.10282218646971797)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-5_S17_R1_001	(1.0, 72.61881308171895)	(2.0, 11.085113493655555)	(3.0, 3.015489501828733)	(4.0, 1.727462875110859)	(5.0, 1.4336162163864001)	(6.0, 1.2422102064304976)	(7.0, 1.0501564608201979)	(8.0, 0.9350378528072091)	(9.0, 0.7620008655140976)	('>10', 5.05016118768898)	('>50', 0.520376148981278)	('>100', 0.5595621090573178)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-5_S17_R2_001	(1.0, 75.1840024546216)	(2.0, 10.051626457044085)	(3.0, 2.8149868139588463)	(4.0, 1.6141037264292717)	(5.0, 1.3179048426333817)	(6.0, 1.1945172525006618)	(7.0, 0.9398941128877649)	(8.0, 0.8104181905108773)	(9.0, 0.709788785172792)	('>10', 4.355171865336168)	('>50', 0.5115945441725668)	('>100', 0.49599095473186344)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
KTP-6_S18_R1_001	(1.0, 78.42452009827336)	(2.0, 10.215304225823486)	(3.0, 3.0221872582628744)	(4.0, 1.7377674714522957)	(5.0, 1.1944521291533345)	(6.0, 0.847706570284036)	(7.0, 0.6695522876960961)	(8.0, 0.4938874284701106)	(9.0, 0.3970821535634317)	('>10', 2.6198719964882184)	('>50', 0.32294778545731145)	('>100', 0.05472059507546479)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
