Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
WZP-10_S41_R2_001	WZP-10_S41_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21195700.0	3.2 Gbp	0.0	151.0	36.0	83.06804596607121	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WZP-11_S42_R1_001	WZP-11_S42_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26571193.0	4 Gbp	0.0	151.0	36.0	79.62161416294326	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WZP-11_S42_R2_001	WZP-11_S42_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26571193.0	4 Gbp	0.0	151.0	36.0	81.86769671011999	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WZP-12_S43_R1_001	WZP-12_S43_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20340111.0	3 Gbp	0.0	151.0	35.0	81.86201653944465	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WZP-12_S43_R2_001	WZP-12_S43_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20340111.0	3 Gbp	0.0	151.0	36.0	83.77615450251183	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WZP-13_S44_R1_001	WZP-13_S44_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13745862.0	2 Gbp	0.0	151.0	37.0	82.45399945889872	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
WZP-13_S44_R2_001	WZP-13_S44_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13745862.0	2 Gbp	0.0	151.0	37.0	84.20361183860588	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
WZP-14_S45_R1_001	WZP-14_S45_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15188010.0	2.2 Gbp	0.0	151.0	37.0	80.4485206054233	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WZP-14_S45_R2_001	WZP-14_S45_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15188010.0	2.2 Gbp	0.0	151.0	38.0	82.1902628118031	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WZP-1_S32_R1_001	WZP-1_S32_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21373285.0	3.2 Gbp	0.0	151.0	36.0	83.69024507219402	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WZP-1_S32_R2_001	WZP-1_S32_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21373285.0	3.2 Gbp	0.0	151.0	36.0	85.56597460141936	151.0	151	pass	fail	fail	pass	pass	pass	fail	pass	pass	pass	pass
WZP-2_S33_R1_001	WZP-2_S33_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13810467.0	2 Gbp	0.0	151.0	39.0	82.04974456139726	151.0	151	pass	fail	fail	pass	warn	warn	fail	pass	pass	pass	pass
WZP-2_S33_R2_001	WZP-2_S33_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13810467.0	2 Gbp	0.0	151.0	40.0	83.65631736839653	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
WZP-3_S34_R1_001	WZP-3_S34_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19071024.0	2.8 Gbp	0.0	151.0	37.0	85.09474728673406	151.0	151	pass	fail	fail	pass	pass	warn	fail	pass	pass	pass	pass
