Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
20150415.B-CAMA_reseq_3_R2	(0, 332.0)	(5, 363.0)	(10, 441.0)	(15, 416.0)	(20, 416.0)	(25, 463.0)	(30, 16497.0)	(35, 19431.0)	(40, 18537.0)	(45, 17255.0)	(50, 16381.0)	(55, 16877.0)	(60, 17315.0)	(65, 17160.0)	(70, 16818.0)	(75, 16299.0)	(80, 15991.0)	(85, 15895.0)	(90, 15593.0)	(95, 16962.0)	(100, 16707.0)	(105, 14957.0)	(110, 15244.0)	(115, 51725.0)	(120, 64348.0)	(125, 18311898.0)
20150415.B-CAMA_reseq_4_R1	(0, 717.0)	(5, 313.0)	(10, 339.0)	(15, 357.0)	(20, 367.0)	(25, 402.0)	(30, 14738.0)	(35, 17303.0)	(40, 16324.0)	(45, 14852.0)	(50, 14524.0)	(55, 14937.0)	(60, 15002.0)	(65, 14684.0)	(70, 14417.0)	(75, 14188.0)	(80, 14096.0)	(85, 13606.0)	(90, 13571.0)	(95, 15022.0)	(100, 15264.0)	(105, 13491.0)	(110, 14097.0)	(115, 50331.0)	(120, 63356.0)	(125, 17193169.0)
20150415.B-CAMA_reseq_4_R2	(0, 308.0)	(5, 328.0)	(10, 334.0)	(15, 340.0)	(20, 354.0)	(25, 407.0)	(30, 14728.0)	(35, 17263.0)	(40, 16321.0)	(45, 14843.0)	(50, 14544.0)	(55, 14959.0)	(60, 15026.0)	(65, 14692.0)	(70, 14412.0)	(75, 14189.0)	(80, 14066.0)	(85, 13606.0)	(90, 13574.0)	(95, 15023.0)	(100, 15230.0)	(105, 13465.0)	(110, 14097.0)	(115, 50487.0)	(120, 63113.0)	(125, 17193758.0)
20150415.B-CAMA_reseq_5_R1	(0, 795.0)	(5, 431.0)	(10, 428.0)	(15, 492.0)	(20, 458.0)	(25, 481.0)	(30, 20079.0)	(35, 23798.0)	(40, 22566.0)	(45, 21050.0)	(50, 20335.0)	(55, 20254.0)	(60, 20558.0)	(65, 20101.0)	(70, 19850.0)	(75, 19368.0)	(80, 19131.0)	(85, 18452.0)	(90, 18625.0)	(95, 20233.0)	(100, 20005.0)	(105, 17817.0)	(110, 17881.0)	(115, 62429.0)	(120, 77463.0)	(125, 21192318.0)
20150415.B-CAMA_reseq_5_R2	(0, 368.0)	(5, 411.0)	(10, 436.0)	(15, 445.0)	(20, 466.0)	(25, 476.0)	(30, 20064.0)	(35, 23785.0)	(40, 22531.0)	(45, 20955.0)	(50, 20344.0)	(55, 20356.0)	(60, 20535.0)	(65, 20089.0)	(70, 19880.0)	(75, 19336.0)	(80, 19171.0)	(85, 18499.0)	(90, 18604.0)	(95, 20360.0)	(100, 20020.0)	(105, 17788.0)	(110, 17838.0)	(115, 62235.0)	(120, 76685.0)	(125, 21193721.0)
20150415.B-CAMA_reseq_6_R1	(0, 935.0)	(5, 387.0)	(10, 401.0)	(15, 398.0)	(20, 402.0)	(25, 452.0)	(30, 19933.0)	(35, 23753.0)	(40, 22820.0)	(45, 21389.0)	(50, 20346.0)	(55, 20950.0)	(60, 20861.0)	(65, 20708.0)	(70, 20242.0)	(75, 19899.0)	(80, 19585.0)	(85, 19158.0)	(90, 19130.0)	(95, 20443.0)	(100, 20060.0)	(105, 18297.0)	(110, 18470.0)	(115, 56450.0)	(120, 69577.0)	(125, 18273069.0)
20150415.B-CAMA_reseq_6_R2	(0, 362.0)	(5, 378.0)	(10, 421.0)	(15, 409.0)	(20, 429.0)	(25, 418.0)	(30, 19975.0)	(35, 23723.0)	(40, 22836.0)	(45, 21397.0)	(50, 20407.0)	(55, 20955.0)	(60, 20826.0)	(65, 20701.0)	(70, 20230.0)	(75, 19874.0)	(80, 19594.0)	(85, 19203.0)	(90, 19150.0)	(95, 20573.0)	(100, 19971.0)	(105, 18291.0)	(110, 18480.0)	(115, 56069.0)	(120, 68967.0)	(125, 18274476.0)
20150415.B-CAMA_reseq_7_R1	(0, 1152.0)	(5, 448.0)	(10, 552.0)	(15, 502.0)	(20, 506.0)	(25, 571.0)	(30, 20902.0)	(35, 24707.0)	(40, 23048.0)	(45, 21741.0)	(50, 20772.0)	(55, 20974.0)	(60, 21086.0)	(65, 20734.0)	(70, 20157.0)	(75, 20298.0)	(80, 19476.0)	(85, 19331.0)	(90, 19022.0)	(95, 20563.0)	(100, 20297.0)	(105, 18295.0)	(110, 18892.0)	(115, 63848.0)	(120, 80152.0)	(125, 21956225.0)
20150415.B-CAMA_reseq_7_R2	(0, 403.0)	(5, 509.0)	(10, 489.0)	(15, 475.0)	(20, 496.0)	(25, 526.0)	(30, 20895.0)	(35, 24705.0)	(40, 23114.0)	(45, 21726.0)	(50, 20769.0)	(55, 21002.0)	(60, 21123.0)	(65, 20752.0)	(70, 20171.0)	(75, 20300.0)	(80, 19543.0)	(85, 19357.0)	(90, 19095.0)	(95, 20741.0)	(100, 20368.0)	(105, 18282.0)	(110, 18893.0)	(115, 63936.0)	(120, 79258.0)	(125, 21957323.0)
20150415.B-CAMA_reseq_8_R1	(0, 761.0)	(5, 433.0)	(10, 460.0)	(15, 461.0)	(20, 466.0)	(25, 498.0)	(30, 20635.0)	(35, 24521.0)	(40, 23038.0)	(45, 22309.0)	(50, 21223.0)	(55, 21345.0)	(60, 21818.0)	(65, 21365.0)	(70, 21022.0)	(75, 20358.0)	(80, 20145.0)	(85, 19990.0)	(90, 19806.0)	(95, 21473.0)	(100, 20924.0)	(105, 18715.0)	(110, 19043.0)	(115, 64601.0)	(120, 80823.0)	(125, 21881021.0)
